,0,1,2,3,4
f0,0.11795176456223502,0.2563250725530188,0.35116297217899034,0.4339605708955806,0.2674059383485768
f1,0.47686292352458204,0.42301657298286344,0.5179178407291215,0.3331057556652866,0.4499827667096341
f10,0.0,0.0,0.0,0.0,0.0
f11,0.0,0.0,0.0,0.0,0.0
f12,0.0,0.0,0.0,0.0,0.0
f13,0.0,0.0,0.0,0.0,0.0
f14,0.0,0.0,0.0,0.0,0.0
f15,0.0,0.0,0.0,0.0,0.0
f16,0.0,0.0,0.0,0.0,0.0
f17,0.0,0.0,0.0,0.0,0.0
f18,0.0,0.0,0.0,0.0,0.0
f19,0.0,0.0,0.0,0.0,0.0
f2,0.40518531191318297,0.3206583544641176,0.13091918709188818,0.23293367343913282,0.28261129494178905
f3,0.0,0.0,0.0,0.0,0.0
f4,0.0,0.0,0.0,0.0,0.0
f5,0.0,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.0,0.0,0.0
f7,0.0,0.0,0.0,0.0,0.0
f8,0.0,0.0,0.0,0.0,0.0
f9,0.0,0.0,0.0,0.0,0.0
